"CodeObj","Vaddr","Instruction","Hitcount","Latency","Stall","Idle","Source"
3,6556,"s_add_i32 m0, s11, 0x6000",16,80,0,0,""
3,6564,"s_nop 0",16,64,64,0,""
3,6568,"buffer_load_dword v5, s[4:7], 0 offen lds",16,76,12,0,""
3,6576,"s_barrier",16,1368,1368,0,""
3,6580,"s_setprio 1",16,64,64,0,""
3,6584,"v_mov_b32_e32 v5, 0",16,216,152,0,""
3,6588,"s_waitcnt lgkmcnt(0)",16,64,64,0,""
3,6592,"v_mfma_f32_16x16x32_bf16 v[18:21], v[18:21], v[22:25], 0",16,200,136,0,""
3,6600,"s_setprio 0",16,64,64,0,""
3,6604,"s_waitcnt vmcnt(3)",16,64,64,0,""
3,6608,"s_barrier",16,3276,3276,0,""
3,6612,"v_lshl_or_b32 v30, v27, 4, v28",16,128,36,0,""
3,6620,"s_waitcnt vmcnt(0)",16,4324,4324,0,""
3,6624,"ds_read_b128 v[22:25], v30 offset:8192",16,84,16,0,""
3,6632,"ds_read_b128 v[26:29], v12 offset:20544",16,68,4,0,""
3,6640,"s_waitcnt vmcnt(0)",16,64,64,0,""
3,6644,"s_barrier",16,420,420,0,""
3,6648,"s_setprio 1",16,64,64,0,""
3,6652,"s_waitcnt lgkmcnt(0)",16,652,652,0,""
3,6656,"v_mfma_f32_16x16x32_bf16 v[18:21], v[22:25], v[26:29], v[18:21]",16,92,28,0,""
3,6664,"s_setprio 0",16,64,64,0,""
3,6668,"s_waitcnt vmcnt(3)",16,64,64,0,""
3,6672,"s_barrier",16,3984,3984,0,""
3,6676,"ds_read_b128 v[22:25], v17",16,108,32,0,""
3,6684,"ds_read_b128 v[26:29], v12 offset:16384",16,196,132,0,""
3,6692,"v_or_b32_e32 v0, 0x80, v0",16,200,136,0,""
3,6700,"v_add3_u32 v1, v1, v0, 64",16,112,48,0,""
3,6708,"v_cmp_gt_u32_e32 vcc, s10, v0",16,200,136,0,""
3,6712,"s_add_i32 m0, s16, 0x2000",16,64,0,256,""
3,6720,"s_nop 0",16,64,64,0,""
3,6724,"v_cndmask_b32_e32 v0, v3, v1, vcc",16,100,36,0,""
3,6728,"v_lshlrev_b32_e32 v0, 1, v0",16,140,76,0,""
3,6732,"buffer_load_dwordx4 v0, s[12:15], 0 offen lds",16,92,24,128,""
3,6740,"v_add_u32_e32 v0, 0xc0, v2",16,248,180,0,""
3,6748,"v_add_u32_e32 v1, v0, v16",16,152,88,0,""
3,6752,"v_cmp_gt_i32_e32 vcc, 40, v2",16,124,60,0,""
3,6756,"v_add_u32_e32 v0, v0, v9",16,176,112,0,""
3,6760,"s_add_i32 m0, s17, 0x5000",16,68,0,152,""
3,6768,"v_cndmask_b32_e32 v1, v3, v1, vcc",16,132,68,0,""
3,6772,"v_lshlrev_b32_e32 v1, 1, v1",16,64,0,0,""
3,6776,"v_cndmask_b32_e32 v0, v3, v0, vcc",16,64,0,0,""
3,6780,"buffer_load_dword v1, s[4:7], 0 offen lds",16,76,12,128,""
3,6788,"v_lshlrev_b32_e32 v0, 1, v0",16,64,0,0,""
3,6792,"s_add_i32 m0, s11, 0x5000",16,80,0,0,""
3,6800,"s_nop 0",16,64,64,0,""
3,6804,"buffer_load_dword v0, s[4:7], 0 offen lds",16,84,20,0,""
3,6812,"s_barrier",16,360,360,0,""
3,6816,"s_setprio 1",16,64,64,0,""
3,6820,"s_waitcnt lgkmcnt(0)",16,64,64,0,""
3,6824,"v_mfma_f32_16x16x32_bf16 v[0:3], v[22:25], v[26:29], v[18:21]",16,80,16,0,""
3,6832,"s_setprio 0",16,64,64,0,""
3,6836,"s_waitcnt vmcnt(3)",16,64,64,0,""
3,6840,"s_barrier",16,1824,1824,0,""
3,6844,"s_waitcnt vmcnt(0)",16,1236,1236,0,""
3,6848,"ds_read_b128 v[16:19], v30",16,96,24,0,""
3,6856,"ds_read_b128 v[20:23], v12 offset:16448",16,128,64,0,""
3,6864,"s_waitcnt vmcnt(0)",16,64,64,0,""
3,6868,"s_barrier",16,300,300,0,""
3,6872,"s_setprio 1",16,64,64,0,""
3,6876,"s_waitcnt lgkmcnt(0)",16,780,780,0,""
3,6880,"v_mfma_f32_16x16x32_bf16 v[0:3], v[16:19], v[20:23], v[0:3]",16,64,0,0,""
3,6888,"s_setprio 0",16,64,64,0,""
3,6892,"s_andn2_b64 vcc, exec, s[2:3]",16,72,0,0,""
3,6896,"s_cbranch_vccnz 1",16,68,4,56,""
3,6900,"s_barrier",8,832,832,0,""
3,6904,"v_or_b32_e32 v10, v10, v13",16,100,36,128,""
3,6908,"v_lshlrev_b32_e32 v10, 1, v10",16,112,48,0,""
3,6912,"s_waitcnt vmcnt(3)",16,128,128,0,""
3,6916,"s_barrier",16,1188,1188,0,""
3,6920,"v_or_b32_e32 v9, v14, v15",16,80,16,0,""
3,6924,"ds_read_b128 v[14:17], v10 offset:28672",16,128,64,128,""
3,6932,"v_or_b32_e32 v11, v11, v13",16,232,168,0,""
3,6936,"v_lshlrev_b32_e32 v11, 1, v11",16,224,160,0,""
3,6940,"v_lshlrev_b32_e32 v9, 1, v9",16,132,68,0,""
3,6944,"ds_read_b128 v[18:21], v11 offset:28672",16,148,84,128,""
3,6952,"ds_read_b128 v[22:25], v9 offset:24576",16,184,120,0,""
3,6960,"ds_read_b128 v[26:29], v12 offset:24640",16,236,172,0,""
3,6968,"s_waitcnt lgkmcnt(1)",16,2064,2064,0,""
3,6972,"v_mfma_f32_16x16x32_bf16 v[0:3], v[14:17], v[22:25], v[0:3]",16,64,0,0,""
3,6980,"s_waitcnt vmcnt(0)",16,64,64,0,""
3,6984,"ds_read_b128 v[14:17], v10 offset:8192",16,636,572,0,""
3,6992,"v_lshl_or_b32 v8, v8, 2, s8",16,64,0,0,""
3,7000,"s_waitcnt lgkmcnt(1)",16,168,168,0,""
3,7004,"v_mfma_f32_16x16x32_bf16 v[0:3], v[18:21], v[26:29], v[0:3]",16,64,0,0,""
3,7012,"ds_read_b128 v[18:21], v11 offset:8192",16,400,336,0,""
3,7020,"ds_read_b128 v[22:25], v9 offset:20480",16,424,360,0,""
3,7028,"ds_read_b128 v[10:13], v12 offset:20544",16,512,448,0,""
3,7036,"v_or_b32_e32 v6, v8, v6",16,96,32,0,""
3,7040,"v_lshl_or_b32 v6, v6, 8, s9",16,88,24,0,""
3,7048,"s_waitcnt lgkmcnt(1)",16,2352,2352,0,""
3,7052,"v_mfma_f32_16x16x32_bf16 v[0:3], v[14:17], v[22:25], v[0:3]",16,76,12,0,""
3,7060,"v_or3_b32 v4, v6, v4, v7",16,180,116,0,""
3,7068,"v_lshl_add_u64 v[4:5], v[4:5], 2, s[0:1]",16,64,0,0,""
3,7076,"s_waitcnt lgkmcnt(0)",16,296,296,0,""
3,7080,"v_mfma_f32_16x16x32_bf16 v[0:3], v[18:21], v[10:13], v[0:3]",16,64,0,0,""
3,7088,"s_nop 7",16,512,512,0,""
3,7092,"global_store_dword v[4:5], v0, off",16,168,88,0,""
3,7100,"global_store_dword v[4:5], v1, off offset:1024",16,144,64,0,""
3,7108,"global_store_dword v[4:5], v2, off offset:2048",16,136,56,0,""
3,7116,"global_store_dword v[4:5], v3, off offset:3072",16,128,48,0,""
3,7124,"s_endpgm",16,4076,0,0,""
